product_id,product_features,product_name
0,Laptop Windows Touchscreen,TP-Link Archer AX6000
1,Headphones Wireless Noise-Cancelling,Canon EOS 90D
2,Laptop Windows Touchscreen,LG OLED C2
3,Smartwatch Fitness Waterproof,Dell Inspiron 15
4,Smartphone Android 5G,TP-Link Archer AX6000
5,Smartphone Android 5G,LG OLED C2
6,Router Dual-Band Gigabit,Acer Predator X34
7,TV Smart 4K,Acer Predator X34
8,Router Dual-Band Gigabit,TP-Link Archer AX6000
9,Speaker Bluetooth Portable,Samsung Galaxy S21
10,Monitor Gaming Curved,Dell Inspiron 15
11,Tablet WiFi Stylus,Sony WH-1000XM5
12,Speaker Bluetooth Portable,JBL Flip 6
13,Headphones Wireless Noise-Cancelling,Acer Predator X34
14,Camera DSLR HD,Samsung Galaxy S21
15,Headphones Wireless Noise-Cancelling,iPad Pro 11
16,Tablet WiFi Stylus,Sony WH-1000XM5
17,Camera DSLR HD,Apple Watch Series 8
18,Headphones Wireless Noise-Cancelling,Canon EOS 90D
19,Speaker Bluetooth Portable,Dell Inspiron 15
20,Smartwatch Fitness Waterproof,JBL Flip 6
21,Speaker Bluetooth Portable,Samsung Galaxy S21
22,Monitor Gaming Curved,TP-Link Archer AX6000
23,Smartphone Android 5G,Dell Inspiron 15
24,Smartwatch Fitness Waterproof,Acer Predator X34
25,Smartphone Android 5G,Canon EOS 90D
26,Laptop Windows Touchscreen,Acer Predator X34
27,Speaker Bluetooth Portable,TP-Link Archer AX6000
28,Smartphone Android 5G,LG OLED C2
29,Laptop Windows Touchscreen,iPad Pro 11
30,Camera DSLR HD,iPad Pro 11
31,Speaker Bluetooth Portable,Samsung Galaxy S21
32,Headphones Wireless Noise-Cancelling,JBL Flip 6
33,TV Smart 4K,Samsung Galaxy S21
34,Tablet WiFi Stylus,JBL Flip 6
35,TV Smart 4K,Acer Predator X34
36,Laptop Windows Touchscreen,LG OLED C2
37,Router Dual-Band Gigabit,LG OLED C2
38,Headphones Wireless Noise-Cancelling,JBL Flip 6
39,Smartphone Android 5G,Acer Predator X34
40,Monitor Gaming Curved,iPad Pro 11
41,TV Smart 4K,Apple Watch Series 8
42,Headphones Wireless Noise-Cancelling,LG OLED C2
43,Smartphone Android 5G,Samsung Galaxy S21
44,Router Dual-Band Gigabit,Sony WH-1000XM5
45,TV Smart 4K,JBL Flip 6
46,Router Dual-Band Gigabit,Dell Inspiron 15
47,Router Dual-Band Gigabit,TP-Link Archer AX6000
48,Monitor Gaming Curved,Apple Watch Series 8
49,Headphones Wireless Noise-Cancelling,LG OLED C2
50,Smartphone Android 5G,Dell Inspiron 15
51,Speaker Bluetooth Portable,Sony WH-1000XM5
52,Smartphone Android 5G,LG OLED C2
53,Headphones Wireless Noise-Cancelling,Samsung Galaxy S21
54,Router Dual-Band Gigabit,JBL Flip 6
55,Tablet WiFi Stylus,Samsung Galaxy S21
56,Tablet WiFi Stylus,Canon EOS 90D
57,Headphones Wireless Noise-Cancelling,iPad Pro 11
58,Camera DSLR HD,Apple Watch Series 8
59,Monitor Gaming Curved,Dell Inspiron 15
60,Tablet WiFi Stylus,TP-Link Archer AX6000
61,Monitor Gaming Curved,Samsung Galaxy S21
62,Smartphone Android 5G,iPad Pro 11
63,Monitor Gaming Curved,Acer Predator X34
64,TV Smart 4K,JBL Flip 6
65,TV Smart 4K,TP-Link Archer AX6000
66,Laptop Windows Touchscreen,Sony WH-1000XM5
67,Camera DSLR HD,Apple Watch Series 8
68,TV Smart 4K,iPad Pro 11
69,Smartphone Android 5G,Sony WH-1000XM5
70,Camera DSLR HD,Acer Predator X34
71,Camera DSLR HD,Samsung Galaxy S21
72,Camera DSLR HD,LG OLED C2
73,Monitor Gaming Curved,LG OLED C2
74,Tablet WiFi Stylus,LG OLED C2
75,Speaker Bluetooth Portable,TP-Link Archer AX6000
76,Smartwatch Fitness Waterproof,Apple Watch Series 8
77,Monitor Gaming Curved,JBL Flip 6
78,Laptop Windows Touchscreen,Canon EOS 90D
79,TV Smart 4K,JBL Flip 6
80,Camera DSLR HD,Dell Inspiron 15
81,Tablet WiFi Stylus,Acer Predator X34
82,TV Smart 4K,Acer Predator X34
83,Smartphone Android 5G,Canon EOS 90D
84,Laptop Windows Touchscreen,iPad Pro 11
85,Monitor Gaming Curved,Apple Watch Series 8
86,Camera DSLR HD,Apple Watch Series 8
87,Camera DSLR HD,Apple Watch Series 8
88,Camera DSLR HD,Samsung Galaxy S21
89,Headphones Wireless Noise-Cancelling,Apple Watch Series 8
90,Tablet WiFi Stylus,Sony WH-1000XM5
91,Router Dual-Band Gigabit,Apple Watch Series 8
92,Router Dual-Band Gigabit,LG OLED C2
93,Tablet WiFi Stylus,Samsung Galaxy S21
94,Tablet WiFi Stylus,iPad Pro 11
95,Camera DSLR HD,Samsung Galaxy S21
96,TV Smart 4K,Acer Predator X34
97,Monitor Gaming Curved,Canon EOS 90D
98,Monitor Gaming Curved,Samsung Galaxy S21
99,Tablet WiFi Stylus,LG OLED C2
100,Headphones Wireless Noise-Cancelling,JBL Flip 6
101,Smartphone Android 5G,Dell Inspiron 15
102,Smartwatch Fitness Waterproof,Samsung Galaxy S21
103,Speaker Bluetooth Portable,Sony WH-1000XM5
104,Camera DSLR HD,Apple Watch Series 8
